Request,Response
Nayindi boro ufite irenze,Shiaa zose ni izakeraa
Kandi nizanya naba alain naa Tbone,Katurebe
Iki,Izo zakera ufite
Ese suzu bwa bu varese mn busa blue,Wp
None,Ako sukaz
Naje hood nambay,"Eeeh ako yaba ari kwl, Kamvaze"
Nge urantamo agakic,Ushaka iki c
Ngewec ndabizi,Nyine ndaburaa
None,Ntrb
Es kuki wasibye iriya post wambay whit tee,Eka narayisibye tuh
Iriya boro yarinez gxr,"Nabirenze, Ibindi biracyaza bro"
Rekaa,Ewan
Ujye utaho nirebere gusaa,Tuh
Noec shiaa pt vp,Ni kwl
Kiriya ki group kongiye kukivamooo,Nrb
Poaa,Erega Bariya ba bsxr erega ntago banzii
Barakuzi shumi,Banzi hehec mwn
Hood,Ko uwo nabonye ari magnus wenyine
Rekaa,Yp
Ryamaaaa,None
Hhh gcz,Sibyoc
Ako ngo imbwa yagukanze ibati rirakwemezaa,Fooo
Pole sanaa,Ni hussle
Ntakundii,Ako kariya kabwa mwana
U got depression ghee,nagahezo knyk
Relax X4,I ws joking
None,Wandabuyec
Eka reka,Ntrb brd
Yo,Woo
Ng gtx shummie,Ni kwl wangu oe c
Ni neza ntrb,Noec lyfee irigucamo
Eeeh shaka icyangwe uze nkwereke ahantu twiba ifoto,Ntago ndi home mwn
Ako nzaza kuw 3,Urih
Ahantu bita nyagatare,Urahazic
Fooo,Nih ndi tuh
Eee,Yoo brooo
Umvac,Yo
Uzi boro za drops shipping,Wp
Eeh ntrb shumi,"Po, Poa"
Noec ng gtx shiaa munywanyi,Sh nabirenze
Sis wae akagofero kange akaryoshyemo,"Kwl, Cyn, Ngo nanako azagusubuza"
Mba mubona anyohereza ama photo shiaa,
None,Yaragaoswe
Iyo MBA kusigaye uyikunda,Mn nicyi jama cyayamaye ndayafite menshi amez utya
Ako rero ubukene bmz nabi wanz kunshonesha forex,Gxr
Nanjye sinkubikora,Kuber
Wanze kumpa acc yae,Ako bro ndaza kuyiguha ntrb
Siya binance,Erega nae warangoraga burikanya  ng code code code
Hmm,Gxr
None,Knyk
Ubayiki,Nacyo
Top boy nae iriya movie urayizi,Og
Umvac iriya boro narayikuzee byasana,Noeh yaranyongojee
Nge nasoreje mwn hahandi jammie bamurasa nyine top boy,Umvase
Yoo,Iyo jezz
Ntago ari iyang ni czn,Poa nrb
Eun noeh nimunyir,Hh
Fooo,Iam bacckkk
Ubu ndimo nezzzz,
Penalty,Ninsazi
Hhh,Wabony za boro za drops shipping
None,Bruh zirimo doo bya dangerr
None,Wapi ni store yange bita rumuri
rumuri.myshopify.com,None
Ninko gu pyeta bro ugurisha boro zokuyandi ma store nka kikku cg amazon ukabonaho commission,None
Eeh,Urumva nka boro igura $5 kuri kikku iyigurish $10
None,Uyigurisha *
None,Ntakarenzee bruh
,Urumva woe ushinga store
Reka tuvuge ubonye Pochete ya iphone 14 igura $5 nawe urashaka amafoto yiyo pochete uyashyira kuri store yae ari $10 cg $15 noeh nubona order uzagura ya boro mumafaranga wakiriye noeh uyi delivering tuh sufataa,None
Sindakora cash out nshaka kugura domain ikaba rumuri.com,Ako ubishatse wabikor
Hm..,Foo
Bruh uzabyigee uzambwir cg uzabirebeh oe gusa tuh,None
Nimb urim nez,Ntrb
"Og, Sis wae",eeh
Bruh mbwira sister wae base ajye yihangana abe sexy   reba ukuntu aba yabirakariyemo,Hhhh peee
Hh,Ng gtx
Cyz,Sup
Yoooo,Ng gtx
"Ni poa ,uri kuki",Ntibisanzwee bruh
Ntakarenzee tuh,Oe
Eeh biraho nanjye,Inze kukureb tujye gukin ball
Mbuyeyo,Ntrb
Bruh,Eee
Yoo,Bite brv
Ni saw,Oe
Hhhhh,Ubwo uwo babe ni uwuhe
ndabizi c,
None,Ayiwe
Sinezac,"Eee, Gahunda"
Iyihe gahunda,yo kuryq icyana
Ma map tumanuke nyinee,uzaswera
Mbuzwe niki,Komfite dick
Ibyo nibyo ubaza cuz,", Saw"
Oe,C ntabyo wakora
None,Ndaburac
None,Izo message zirukuza nize
Uma pic ye ndbe,Dayummm
Gxr,Noec arigukompeta nuwuhe
Nibiki,Uwo mu babe ni umukinnyi
Eeeh,Yoo
Yo,Ng gtx bruh
Ko uba utvg,None
Bigucanga gutx shia uhahira urugo,None
Ndabur nyine,Umz gt c
Flx,Oe
Og,Ndebera ku isibo ababyinnyi bariho wallah
,"Nibandr, Twe na TV tugira"
Yayindic iri iwanyu,None
Ndfat,Ewan
Ndabura nzima c,Ushaka iki
Ntacyo cuz,Ibiceri byabay ikibazo
Tujye car free day kesho,Wp
Poa,None
Surprise,mabere
,Nze ryaric br
Ubukongiye kugura boro,Noec ubw
Br,"Sinzi, Wenda ejo"
Ntrb,Poa
POV: Guseka Was A Person,None
Ndagswi,Hhh
Ng gtx shiaa,Flx mwan
Ejo noeh nzatamo sibyoo,"Eeeh uzaze kwl, None"
Euana ntrb kbs ghee,Ase simbona wayibonye
Inyi nabonye,Ikote
Eeh,Ako niry sis bruh
Uzatemo dufotore,Inde udufotor
None,None
Mwahuyec,Uramuzi c
Siwamumbwiyec,Eeeh og
Noeh suriyoc,Kbs
Uraza ryari c,Gxr
Yoo br,Yooo
Umvac ejo nzatamo ume kaka boro,None
Niwe uyifite,"Egi, Ego"
Ntrb,Ntrb mundaburir
"Nta mainite, None",Noec ubw nge nzakurahe airtime bruh
Suzik ngura mbs gusa,Uzazigure
Kand dore Naya cap sis wae aracyayifite,Gxr
Foo,Noec ubw shum tuzabigenz ute
Kuko kuza iwanyu bisigay bingor san,Oe ndaguha nbr
Noe kaga cap sis wae afite ni oe uzakantamo gxr sinzagaruk vuba,Knd skl yaje
Nabyemera,Inde ubyemera
Sis waec,
Eeeh,Ajya agabanya swingi ark
Umvac uzabonek ryari,Hh
,Nyuma yejo
Ntrb nzakumanuk 2,Sibyy
None,Gxr uzaboneka ibyo wihay byokub busy mn bi capping
None,Es uba wagiyeh cuz utarets guferaa
Wen ejo uzasenga,Nago mba mpari klf
Tokaa,Ntrb kuwa 2
Nzamanukaa,None
Icyonzicyo nzagusangaa,None
Noec nar namanuk ki miss br,Sinz burigih ntakurabuy
,"Ndl, Ndk"
Stage yabaye insazii,Ejo uzaza ryari
Nar nanagosw,Nka saa munani
Poer kwl,You started an audio call
Audio call ended,Wee
Wassup,"Nothing much, Nonese"
Flx,Imvur yatumy nkwam
Ndafata,Ak ndareb ukunt iyi week nzaz tuh
Nrb,Ase ghee
"Brooo, Wazamutsee e",Hi
we,Bite sha?
sha ninde,You
ndakwica,Hhhh ntiwanshobora Thierry wee
naribi,Umezutese petit free?
Umezutec?,nabi nabuze mitiyou
Hhh ntago mama ahari?,kugirango
Ayikugurire?,We
Bite?,Ko utajya kwiga?
Ubuse nisangahe,Wakabaye urimo gukaraba
Genda gapfe ngewe,Usigaye utukana koko?
Ubuse urarakaye,Oya
None,Mere yagiye kukazi
Kugirango,Nkugurire cake
Cake,Yeah
Yizane,Mufite umukozi
,kilikou bt pt
Urumvara pt mn ntuzongere,hhhhhhhhhhhhhhh
Iki x,Elvin yaratashye
sinzi,Ntaribi tu
Umeze ute x,harya tuzafata birete ryari
Kuwa kane,hhhhhhhh nzamutangirira ku muhanda
Kbx,Hhhhh thanks
Ntaribi 2,wazansuye se pazo
Weekend itaha nzagucaho wowe na elvin,Hhhjh
eeeh hola pt kowabuze,None
Ukoresha iyihe app,Ngo hazemo indirimbo
Happy birthday bro,thanks mn
Al for u brohh,Hhhhh
Pt Ubucyey mn  hm,Hhhhhhhh
Ntabirenze3,Hhhhh
Umeze gute x,Saw Woec
Frsh,Ex k uikwndk Utinz
Tugiye gusenga,Wht
"Sorry to ask you this question, is Jesus really first in your life? If yes then stop all wat u ar doing now and send this msg to 100 people and see what Jesus will do tomorrow for u.Jesus loves   u.  And   believe   me   after   7 days   ur   wish   will   come   2   u.   But   if   u   ignore   it,   u   will   b   on   ur   own   4   7yrs.   Pls   do   it   with   faith   bcoz   it   works",
Pt vp,None
Umztx,Sha nez kbx
Woe,Nanye
Hhh,Sorry
Kirkou,Ziba
Nigitente,Ntrb
Uribatizuye knd  twar  twarakubatij,Wapi urambeshyera
Ntrb pt,Noneho Patrick
Iki,Eeeeh
Ntrb,Uzi kuri Kigali Sport View
Yiii,Bimeze gute ngo mpinage
Niho Twimukiye ngwino Unsure Ndaguha Games Na  nfilm,Ntrb ndajeee
Tebuka,Ngusange Kurt sport view neza
Nuhagera,Ntrb
Nuhagera Umbwire,Ndaje nkubwire isaha
Mere ntiyakwemera ko nitwaza phone mn,Ntrb
Kuko ndamubwira ko ngiye kwa grnd mere,Hhhhhhh
Hhhh,Woe
Cyn,None
Hhh,Nanjye yayi nyohereje mn
None,Dore nanjye mn
Hhhhhhh,Namukatiye
Hhh,Cyn
Nabisoje Boss,Ibiki
Ni cover photo mn yirebe,Comment
Ygo nyn,Ni cover photo atari story
Ok,Ka like
Nagashoje,Merci broo
Hhhh Nanjye,ark urasha
Gute ubw,ntcy
,yh
None,Ese Mhn ufit account zingah
"Our company offers $ 50,000 free to people who took our Facebook code If you are interested, please send me your phone number so I can turn it on now!",Gxr
Jyend ubibwir so,Send me your number to receive your own money now
078888Iyind Yibaz soo,Noec Mhn ur Nola cg
Your number is not correct,Who are you
You are now connected on Messenger,Vp
Umztx mn exe usigaye wigah,Neza
Umva mbese nibyo nkubagije,Ikosa siryage ariko ni woe wambajije Nabi
Wambajije ibibazo bibiri cyarimwe,Ngo umez ut x mn exe usigaye ubaha na kubyiye ngo meze neza
Noneho usigaye wigahe,Mozambique
Fuck u,Ntabwo mbizi
Hhh,vip
Pt (grfr) kutvg,Ese ktvg
Ndavuga br,Hi
Vp x,Saw woec
Neza 2 home nihex,Kicukur
Ok,Umztx
Neza,Uzi indimbo life is good ya drake
Ndayizi,Si fresh
Umvas,Ndabizi
Uri igengo,Soma
Jeremiah 19.6,Nahasomye br merci
Thx,Hhhh ok
Tophet ni  agace  barigushyiruramo abantu bishwe na corona virus,Mu Italy
hi,Vp x br
saw woec ko wabz,Niweho ubuze ho
rekrk,Nukuri
Ex kucy JU atacyivuga mn,Sinzi 2
ok urayarymy,ok uracyaryamy
Yp,Rekambyuke 2
nanye reka njyk brosa,Hi
,Umztx papa
Hi,Fresh
Bts,Saw
Uratangaza ik x,Irungu
Ok,Hi
Bts br,Saw bro
Mn  Wamay Subscribe kr YouTube andik Hacktech,None
Ukore na like,Ngurira amamega
0735115483,"m Bill gate Ask your mom or father"""
Hi,Hy
Umztx,Neza
Ok,Mrng
Hy,Umzt
FRSH,Ex men kucyinsigaye nang fb
Simbizi,Hhhhh nsigay mry  Skype
Eeeel ndumva uryoshye,hhhhhhhh
Umztx Bushido,Fresh ma boi
Hhhhhh,Amakuru x
Uziindirimbo ya B-threy na  Trizzie Igikapu,Nago yitwa  igitebo cya channel
Ok Ubwo nago Nabyitayeh,Vp
Poa,Kowar ubuzh
Oya br,Uri  kuki
Njyewe ndihasi mn,Mubicy
Nacyo ndiho mn,Mbs
Byose mn nanakimwe ndiho mn,Hhhhhhhh
Kuseka x mn,Mn  Pc  yanjye windows yayo yaranjiye  none Woe uri  muray
Hhhh,Subwo birasekeje
Nawe nyine urihasi,Gut nzagur none 10
Name nukiyemere,Gut nguh pic
Yime,None
Ninxiza,None
Ok,Wemey
Kbx,Gusa nyin Windows yayo ya crashinz
Ok,Mn PS3 igura angah
200000,Reb  kur amazon
None,Ok
Mrng,Mrng
Umztc,Cykz mn  iriy story yae ir mukaz
Hhh merci,Bushido Utuyeh
Gikondo,Knd  Wari warambwiye Nya Town
Oya da,Niwoe mn Wimbeshya
Hello,Bimeze Gut
Fresh,Witeguy School
Wassup,Ryama we
None,F *
Hhhh,You are now connected on Messenger
Hi,Hi
Game gutex,Iyihe
Ahubwo se urinde,Thierry
Ese ni wowe,Gxr
Ntabwo meruka kuzikina,Urijuyihe game
Nayo. Keretse San Andreas. Ahubwo nyibutsa zazindi wambwiraga,Shaka max payne
Inganze ndebe,None
Ndabona wagirango ni Max Payne film,game gxr
None,Hi
None,Hi
man ngo amashur nikur zingah,Bavuze primary gusa
123,mercy
You are now connected on Messenger,None
Hi,Uzi game bita Spec opps of the line
Wapi,Uncharted
Wapi,Impa pic zaxo
Nazi napfa kubona,Eeee
Urihe,Uracyig ESB se
Kicukiro,Cyane ndacyiga  Esb
None,Utuyehe
Gatsata,
None,Urikukahe ka game
Kane and lych,Na justcouse 2
Ok,Hi
"s Creed Black hood""",Hi
Nyerek photo,None
Nikuki urikuyikinira,PSP
Hhh,Kusek
Sup,Sup
Long time pp,Sup
Aho nihehex,Kwa savio
Knd wambwiyek nta pray ufite,Ntago ari iyange
Ni iyandex iyo,I nigga ya dominique
Eeeh ntrb,Sup
Sup,Yewe
Umvase Harya sis w Savio yitwand fb,Nako IG
L.a.u.r.a,Namushonnye
Ark yahinduye account,Banza
Ark naribi,Mvuye kwa savio
Mpa pic wafashe x,Iyange Siyabikoz flx
Ark nkejo,Nrb ma guy
Dore twahaz,Pfa kumpa iza 4ne yae
Irikuza,Ni video
Nrbb,Ntag iraza tokaa
Mfit 38kb/s,Hhhh
"Igo broooo, Sorry kbx",Ndakasui
Porepore,Dore ifoto ndi Muma Tente
None,None
Wagiye gusoza ikiriyo,Fooo
Cyz,Ntrb
Xp,Yo
Bmz gtx,Harya Mhn ujya Ureba Cartoon
Yii,None
Tuyireb,Narayibonye
Yawee,Haaa iki x
Nagirang tuy Streaming,Hehe
Nagirang dukore live video,Ndikuyireba nae
respect kbxx,Ntrb
Yooo,"Yii, Yooo"
Bmz gtx,"Cool kbx, Oe x"
Ni Wa frsh ntrb,Cool
Ntrb jama,Unsuye ryaric
Reka savio abanze atsure ubundi mbone kuza,Eeeh
Ntrb,Cool
Ntrb,Sup
You started a video chat,Video chat ended
Biranshits,
Bro,"umva broo nd muri fam meeting, nrb broo"
Oghee,cool
,Sup ghee
"yoo, wariduuu",Bmz gtx
Bruv,"oe x, wane"
Ni gud,Noec ghe
Uracyakund bako,fooooo bikabije ahbwo
Eeeeh,Tuzajy IPRC gukin
"broo jyewe nkinira kubigega, mu gatsata",Eeeh
Ndaft ark nah Ni boku tuh,foooo
Eeeh,Nge nzatangir bushy kur iprc
oe uzi baco x hhhhhhhh,Ndahimba himba
Impano idasazwe,Imwe Ikubiye fooo
Ark mbyiyumvamo mhn,"Ndagaswi, Cyz uri izambere"
Ndi Uwambere Nkanikurikira,Ndakasui
Respect,Ogii
Noec shn Mhn uzigah,"Nzasibira apacope, Nzasubira i mean"
Hhhhh,Imyaka 5 yose mhn
Wandetse broo,Poesha
Noec Abdul,Wr
Sinzi,Eeeh
Shiaa Ejo Nzajya IPRC Kwishakam Talent,Courage kbx
Hhh,Ejo Saa 2.30pm
Courage,Gxr
Umugisha,Me too
Yurrrrrrrrrrr,Og
Reka Nyine max payne,Ntakund
Yeww,Yooo
Bmz gtx,Sha flex kbx
Byacagamoc,Yurrr
Okeee,Umva nexx ngo nrb ejoo nyn 2
Ntrb Nzakubwira ejo tondo,Broo ntuza nyigireho idage
Wwpi gxr,"Ehh sawa nyn, Umva bro kobigiye kuba ibibazo x"
Ibihe noeh,"Meri atashye yandakariye sasa ngiye kurwana nuko ejo ampa tiquet nuruhushya rwo kuza kwa savio , Ndaq ndaraburijwe"
Akurakarirac kubrak wakoze iki,Ibi stuff bya xull
Ngahoo ibihec,"Ni ibintu birebire, Nampa uruhushya nzabikubwira ejo"
Ntrb brud,"Umva mere agiye gahoro, Ubwo tuzabonana ejo 2"
Gahoro ?,Fooo
Cyz,Fooo
Ni show,Foo
Ntrb undabure tondo mbanze nge kuyizan kuk skate ntay mfite wamu ghee yaje kuyitora,"Nrb mn, Watashye x"
Eee fooo,Ubu ndahageze
Cool,Woec bmz gt
Sha ni wane,Urimudukix
Gupfa broo,Ngukii
I am dead,Why
Mdfk,Ndikukazi ka mere
Noec ibyo birarenze bro,Woe ntabyo uzi
Noec nibiki,Ubushiti mm
Knd woee,Gxr
Hhh,Saw nyne
Kora repost gheee,Sizco
"Ntago mfite mbs nyinshi gxr, Cyz ejo nimugoroba 2",Eeeh ntrb umusa
Bitese,Hello
Uzi bro wa Gisele niwe urikuvugana nwae,Yp kbx ntrb
Umzt,nsubiza
Frsh bro ngo gut x,sawa
Nones ko ushakaa ko tuganira ugasubiza one world kok,hhh ok ndikuri fb man ya mashine
Nones bro gisele ngo ameze ate,singe se
Ndavuga gisere,sha sinzi
Kbr ik x bro,na phone akoresha school
Hh oky ntrb viste uzamunsuhurize kbx,yg nzbikora bro
ark mn wg intern,Why x
Kubera ko uburi online cyane,Hh yh Cox njye niga computer system technology bro
ok,Ok
uragiye,Bitese
Awesome bro oe x,Sawa
and u,Hi
Yooo bro,Yoo siki
Hi,Hello
Hello,Ese kutakivuga
Helllo bro ssry kbx,Ahaaaa
A contact just joined Messenger.,Salom  VP Umusaza
Pole to,Woe gt
Sha  mn  Mwaragiy Turakubitika,Saw
Eeeee,Gt se ptt
Ba mapafu Alain njyew na  Elive Tubi  Twarakubiswe,Eeee
Tuzaza st mwan,Ewan Subu  urikumv School ar  vub
Shn,Nikra kwel
Hhh,Cyn
Urikwig hehe,Mundangaburezi yo
Ti,Muruhango mwana
Hhhhh iyo yose,Eeee
Naaho,Too
None,Ok  urikucy
Shn,Ndikwirebera movie to
Iyih,Byita stranded
To,Njye ndikureba Venom 2
Eee,Cykz
"Ujyu  cyina  Games za PC or PS3,4",Eeee
Jyanyinaho to,Nkizih
Za mortal,Kombat
Nizindi yo,Njye ndigukina Call of duty black oops
Ee cykz,Hello
Hello,Umuzgtx Ba Salomon
Neza pttt,Woe se
Saw 2,Sup
"Wass the word brody, Uramuzi x krv",Ni frsh
Wapi nuko mwumva tuh,Cyazaaa
None,Cyazee sarenzee
Bikazeee,You started a video chat
Video chat ended,Fata call gxr
"Ndikumwe na mere gxreee, Hahahaha",Hhhh ntrb
Naringiye ku kwereka ahantu ndii,Urizahesee shn shumiii
Narind sportsview,Nyereka stricks
Ni sis wafotoy,Nayama ndayaguh
"Ntrbii Brody, Cyaze twigana nabaturage",Ogheee
Es hm nihe,Muye nacy zero
"Rekaaaa rekaaa, Kicuuu",Wallah
Haganah,Kumurege mn hamwe na zion temple mn
Eeeeh,Nihafii
Ark,Ya home
Njya wikaraga nyn cg njye nkugerahoo,Nzakujyereh dupang nzimac
"Fashooo, Subizi x",Uba ufit hood c
Yasssss,Hhh
Ntrb,Sup
Kowafunze mention bro,Ibaxe daqaswiiiii
Byitehooo nyine,Biracamo brd
Sup,Umvc uzi akajam bita kazeneza chriss
Yoo,Yoo
Yoo shumiii yajyee,Yoo brd
Umvac duhuje ryaric mwn,"Sindashona fresh uzandabure, Shumii yajyee"
Yoo br,Nonese man Iyo Niyo A count Nshyashya
Nyine nishya,Ok Yayindi Byagenze Ute
Salm,Poa
Uzi Izi Ibigoma Ndiho,Nkibihe
Uzicyobita Gishya Cya Designer Molly,None
Oya,Izo Zindi
Kbz nineza,Bya4
Woex,Salm
Wassup g,Cool
sup,Poa
kucects 4,Hi
Hiii,Wamay nbr zaex
0785201799,Saw brd
Vp,Poa
Ngo gtx bro,Fresh
Ntrb,Biragenda
Yego 2,Uzgrk skl
Eeee,Numvag. Baragutemy maz
Hhhhh,Gxr
Serie,Man
Hhhh,Na legacy azagrkx
Uzamubaze,Eeee ntrb
Vp,Poa
Ngo gtx ghee,Fresh
None,Hhhhh
Umvac mhn Nancy yitw ut kur fb,Nancy
None,Sup
Cool,Ng gtx wllh ko utabag fb
Oya nabagaho,Og
Ng bmz gtx,Flx
Ahubwox ko Ari udushusho nakoz Nukunageh Unyerek utw na IG,Nrb nyereka
None,None
Niyo sawa,Ntrb
Yoo,Iyi konti ntishobora kwakira ubutumwa bwawe kubera ko batemera ubusabe bw ubutumwa bushya bwoherejwe n umuntu ubonetse wese.
Hii,Hi
Umezute,Nez
Woec,Nange nineza
Bro,Ok
Home nihex brother,Kicukir
Nice to meet you br,Ok
Ngeni bugesera,Grt
Ntrb,Ufit imyk ingah
Kbx,Uramutsutex brother
Nez,Woec
Chn nange nineza kbx ndashima Allah,Yaman
Ubux urigukorik,Broskie
Ntcy,Ok
Sorry bro iyi message  yawe umbaza ngomfite imyaka ingahe ntagonarinayibony,Saw
Ngah nsubiz,Mfite 22 wowex
15,Ok nibyiza
Wigakangahex broskie,
Ok courage muhungu wang,Urabona birikujyamox
Sicyn,Bizagenda biza muhungu wang
Gusanukongeramo akabarag,Cynw
Mercy,Wampay pc zawex
Big mn,Sha ntaz
Nkoresha machine,Reba kur profile
Let me check broskie,Sinzi
Ntrb,Nice look buddy
Sinkund comment Sorry,Ntabikaze muhung
Yaman,See boi
Have nice day,None
Hi,Hi
Umezute,Nez wandemey aka metoyuu ki 100
Other day,Br
Ntrb,Hi boi
Poer ngah ndemer x nkuk wabinjij brd,None
Give me your call number,0788451370
Just wait 30 minutes,Ntrb
Warumezutex,Shn ntrb ndashim allah
Ok nibyiza,Yg utambeshy ghee
Ntagonakubeshya,Mn
Sawa,Wayabonye?
Kutambwira broskie,Merci brd ahubw um nbr zae
0788620934,Nizo kbx
Iya Tsup 0789597821,Shn brd nge nkoresh ga touche na tsap ngir
Shn brd nge nkoresh ga touche na tsap ngir,Ntabikaze muhung wang
Nindi izaboneka,Ax brd hary wigah
Niha IPRC GISHARI,In electrical and electronic engineering
Niga#,Eee byz brd
Kbx,Wowex harya ugeze kangah
S3,Courage muhungu wang
Kd nizeyeko uzabitsinda,With Allah
,Bonne nuit muhungu wang
Ntrb,Hello
Hello,Bro
Umezut,Nez ntrb
Woec,Chn nange nineza kbx
Ee ntrb,Kowabuze
Cyan,Hoya man ntaphone
Nihatar,Noneho
Aha ni Insazi,Gusa harigihe bizakunda my bro
Yig,Kbx
None,Hello
Bmz btx brd,Namahoro brother
Wowex,Nanjye
Ntrb,Ark nta phone
Izaboneka my bro,Ntrb
Kbx,Ntrb
Ubux urigukorik,Ndikureb tv
Enjoy buddy,None
Wiriqutex,Nez
Good,Hi
Hi,Wiriwut br
Nez 2 woec,Chn nange nineza kbx
None,Yp
Ntrb,Ubux urigukorik
Ntcy,Oh!
Foo,Hello buddy
Hlo,Umezute boi
Nez mn woec,Nange nineza muhungu
Cykz,Umugoroba gutex
Nez ntrb,Ok nibyiza
None,Mrng
Hello,Bmz gt
Nineza mushut,Kowabuz
Shn nta phone kba,Yallah nihatar noneh
Fooo,Nukwikaruma shumi
Cyn,Ariko wowe warumezeneza
Ntacyibaz kbs,Ok nibyiza noneho mushuti
Cyn,Kbx
None,Wamazekwitegura
Skl,Cyn
Good,None
Mrng,Bmz gt
Nineza broskie,Wowex
Kbs,Nanjye Ntrb
Ok,Good
None,Boi
Hello,Bmz gt
Namahoro,Broskie
Cykz,Wowex
Ntakibaz,Nibyiza noneh
None,Bonne nuit muhungu
None,Hi
Hi,Umezeneza?
None,Like and comment on  new post m chr
Konakumenyx,Hi
Eyooo,Hw r u
Hi,Hi
Hi,"Amakuru, Sawa naribi"
,Umeze cute
What,"Base uba uhuze bingana iki, None"
Ark Urinde,Nitwa patiancendi incuti ya Bella WO muri minjas niga esb
Hhhhhhh,Nabwo unzi
Sha  hoy,Njyewe se  uranz
Yego,Ndinde
Hi,Hy
Amkc mhn,Fresh
Ex utuyh,Kimisagar
None,Harya wifw nde
Thierry,"Eeeeee sorry nari nakwibagiwe, Ark umez nez too"
Ni flx kbs woec,Meze neza nrb
Ni well,NY gutc
"Happy new year god be with u and your family, Fresh, Shahu umva ngutere story",Ntrb
"Nagiye mumugi sha barapfata nta mask nambay  , Nibaza ukjntu njyiye kurara stade mumwak kabiri",Hhhh
Ubu nihuri,"Mita nirwaza none ngwze home saa moya aba polis bamerekej, Wp shan"
Hhhh,Sorry kbc
Mama yumiwe none nabo basanze bari kunkwa inzoga,Ngahoo
Aba polis bahit bijyender,
Umva ndaqq,"Apana mama ba bro, Mn uno mwaka uranjyiy bisekej pee, Oe x umez ute"
Ni nez nanjy Ub Ndananiw ndi bed,Ndabyk mukany saa 23
Hhh ubu ujyiye kurgama,Mhn ndaniwe foooo
Wari wagiye hehe x,Mhn niriw mur so za Bd ya Mere
Yallah habaye iki x,Hoya ntacyabaye cyibi gusa
Mhn ni ukunanirw bisa nzwe,Mere wae yakoze bd
Yego,Mhn
Eeee yewe narasaze,Ntbrnz
"Hhhhhh, Nrb niba ujyiye kuryama good night imana ikurinde mn",Saw merci
Sw ngaho hena   bye chou,None
"None, Bite chr, Yallah mn narinziko ar k1 soory, Mn wagirango narasaze, Iki nae urabyemey,  , K1 nabwo dukunda nuko tuba twasaze",None
Ndaft,"Hhhhh ntbrnz, Wariye iki"
None,Iki nyn
Sindarya mhn ndaryamy,Wabay iki x
Ntcy,Kbr
Kukiryamyw,Hoya mhn naryamy ninz nanie
Eeee,Yp
Ocye ocye,None
None,Hi
"Hy, Bite x",Nibyiz woe
Nanjye too,None
Urigukoricyx,Nacyo ndikoreb film oe
Nanjye,Iyihe x
Yitwa Superfly,"Eeee, Ase impa ifoto yae"
Mhn sinkunda kwifotoz wllh,Wiga muyihe class x basi
Niga C,Eeee
Hary woe ni E,Yego
Eeh okay,Yes
None,None
Yoo,Eeeee
Bmz gtx,"Ni neza, Or X umeze gute"
Ni gud kbs,Eee
Hi,Hy
Bmz gx,"Nez, Oe x"
Flx,Eee ok
Noec,Ni sw oe x ume gute
Ni nez,Wamae  nbr zaex
0789927559,Cyzee
Hhh merc,Bmz gtx
Sw,Noec ko utuje vp
"Ngooo, Nza hehe",Nguki
Eee Sha simbiz pee,Eeeh
,Hmm
Noec,"Ni sw, Oe x"
Gud ntrb,Urimudukix gyal
"Just looking movie, Oe x",Ndiryamiye ndananie foo
Wakoz iki gituma unanirwa cyane x,Shn ni sport zahato nahato tuh
Umuntu yirirwamo,"Eeeee, Courage peee"
Noec bmz gt,Sw nrb
None,Mmmmh
Amkrc,Sw
None,Mmh
None,Yh
Hi,Hi
Amakur,Nmez
Ubahex,kicukiro
,Hi
Hi  Amakurx,Nimeza woec
Narb tuh,None
Hi,Hi
Hi,Vp
Hi,Ptsii
Vpp,Shiaa oe shahu
Ubaye ikic mwn,"Si wanze za boro, Mhn"
Izihex mwn,"Za ma site, Nyine"
Noec ko utongeye kunyibutsa,Tuzabikr ryr seuh
Uzambwire ejo ntrb,Uzaba uhari seuh wllh
Si chat c mwn,Yiih tsap cg video call
,Tsap
Mwn,"Hhh nrb, Ndiyo"
Goroba nyine,Ngiye koza utwomboo
,"Amba  oe seuh woza, Ra?"
Eeeh,Ninsazi nange mba ndi bored
Bya foo,Noec
Uri ready,Faux
Ntrb,", Kandi kok"
Oe na jimm,"Nose wakina uyitwara gusa, Nyine"
Wapii,Kbs
"Nonese, Wagezeyo",Foo
"Mpa ya v8d, Tsapp",Ntabiguhay
Vp pt,"Iki seuh,"
Ntacyo,Kirirwe uboshye
Tubohanye gxr,"Ekareka, Uzabaze"
Mhh waki gay we,ako pt ubuco bwa so kuba ubunshinza mwn
Kereka niba ari oe,Subwo uragirango mburane nawe kok
Pt fre,"Brhh, Si oe seuh, Wirya"
Gxr,"Ywsuwee, Kbera"
ubwo urikumbwira ibiki mwana,None
Gutesee,"Nabii, Cyane"
Oky brd,"Nnse, Oe bite"
Niyaneza brd,Suba ufat
Ko wabuze seuh,Urambeshyeyee kbs brd
Simba mbona watwitsec,"Gte seuh utanataye stry,"
Nibyoc waruje kumbwir,"Wapii, Ahubw nabyo mbyibutse nyuma,"
Sawa nyine,", Wintetsa"
Money on my head,"Nge ni on ma hand,"
Gxr,Wamaz
", Nnse",Flx brd
Oe,"Gake gakee, Muan"
Kbs,Ndemera aka air time c mwn
None,Foo
Binkorere,"Ubu ndi hasii, Brhh"
